Prompt ID,Category,Subcategory,Use Case,Prompt Title,Prompt,Variables,Compatible AI,Difficulty,Expected Output,Pro Tip
PRM-BS-001,Business & Strategy,Market Entry,New Market Evaluation,Market Entry Feasibility Analysis,"Act as a senior corporate strategist. Evaluate whether [COMPANY_NAME] should enter the [TARGET_MARKET] market with [PRODUCT_OR_SERVICE].
Use the following information: current business [BUSINESS_DESCRIPTION], available budget [BUDGET_RANGE], and timeline [TIMELINE].
Assess market size, competitive intensity, regulatory barriers, entry cost, and likely payback period. Conclude with a clear go/no-go recommendation and the top 3 risks that could invalidate it.
Output as a structured brief with headers: Market Overview, Competitive Landscape, Entry Barriers, Financial Viability, Recommendation, Key Risks.","COMPANY_NAME, TARGET_MARKET, PRODUCT_OR_SERVICE, BUSINESS_DESCRIPTION, BUDGET_RANGE, TIMELINE",ChatGPT / Claude,Advanced,A structured market entry brief ending in a go/no-go recommendation with supporting rationale.,Attach any market research or competitor data you already have; the model will fill gaps but flag them as assumptions.
PRM-BS-002,Business & Strategy,Diagnostic,Comprehensive SWOT,Evidence-Based SWOT Analysis,"Act as a management consultant. Build a SWOT analysis for [BUSINESS_NAME], a [INDUSTRY] company with [COMPANY_SIZE] employees.
Context: [BUSINESS_CONTEXT].
For each of the four quadrants, list 4-6 specific, evidence-based points (not generic statements) and explain the business implication of each in one sentence.
Finish with 3 strategic priorities derived directly from the SWOT (not generic advice).
Format as a table followed by a short priorities section.","BUSINESS_NAME, INDUSTRY, COMPANY_SIZE, BUSINESS_CONTEXT",ChatGPT / Claude,Intermediate,"A specific, non-generic SWOT table plus 3 strategic priorities tied directly to the findings.",Feed it your latest internal notes or a recent competitor announcement to sharpen specificity.
PRM-BS-003,Business & Strategy,Competitive Analysis,Competitor Positioning Map,Competitive Positioning & Differentiation Finder,"Act as a competitive intelligence analyst. Compare [YOUR_COMPANY] against these competitors: [COMPETITOR_LIST].
Using the axes [AXIS_1] and [AXIS_2] (e.g. price vs. feature depth), describe where each competitor sits and why.
Identify the white space [YOUR_COMPANY] could credibly occupy, and 3 concrete differentiation angles supported by the comparison.
Output: a positioning summary table plus a 150-word differentiation recommendation.","YOUR_COMPANY, COMPETITOR_LIST, AXIS_1, AXIS_2",ChatGPT / Claude,Advanced,A positioning table and a defensible differentiation recommendation grounded in the comparison.,"Use two axes that actually matter to your buyer, not generic ones like 'quality vs price'."
PRM-BS-004,Business & Strategy,Business Model,Business Model Canvas,Business Model Canvas Builder,"Act as a business model design coach. Build a full Business Model Canvas for [BUSINESS_IDEA].
Context: target customer [TARGET_CUSTOMER], core offering [OFFERING], and current stage [STAGE, e.g. idea, pre-revenue, scaling].
Populate all 9 blocks (Customer Segments, Value Propositions, Channels, Customer Relationships, Revenue Streams, Key Resources, Key Activities, Key Partners, Cost Structure) with specific, non-generic entries.
Flag the 2 riskiest, least-validated assumptions in the canvas and suggest a cheap way to test each.","BUSINESS_IDEA, TARGET_CUSTOMER, OFFERING, STAGE",ChatGPT / Claude,Intermediate,A completed 9-block Business Model Canvas plus 2 flagged risky assumptions with test ideas.,Best used early — before writing a full business plan — to surface weak assumptions cheaply.
PRM-BS-005,Business & Strategy,Pricing,Pricing Strategy Design,Pricing Model Recommendation,"Act as a pricing strategy consultant. Recommend a pricing model for [PRODUCT_NAME], sold to [TARGET_CUSTOMER] in the [INDUSTRY] industry.
Current situation: [CURRENT_PRICING_OR_NONE], competitor pricing range [COMPETITOR_PRICE_RANGE], and estimated cost to serve [COST_TO_SERVE].
Compare at least 3 pricing models (e.g. flat-fee, tiered, usage-based, value-based) against this specific business, and recommend one with justification.
Include a sample pricing tier structure and 2 risks of the recommended model.","PRODUCT_NAME, TARGET_CUSTOMER, INDUSTRY, CURRENT_PRICING_OR_NONE, COMPETITOR_PRICE_RANGE, COST_TO_SERVE",ChatGPT / Claude,Advanced,"A comparison of pricing models, one clear recommendation, a sample tier structure, and named risks.",Give real competitor prices if you have them — vague ranges weaken the recommendation significantly.
PRM-BS-006,Business & Strategy,Negotiation,Vendor Contract Negotiation Prep,Vendor Negotiation Strategy Sheet,"Act as a procurement negotiation advisor. Prepare a negotiation strategy for a contract with [VENDOR_NAME] covering [CONTRACT_SCOPE].
Our position: budget ceiling [BUDGET_CEILING], must-have terms [MUST_HAVE_TERMS], and walk-away conditions [WALK_AWAY_CONDITIONS].
Identify likely vendor pressure points, 3 concessions we could offer that cost us little but matter to them, and a BATNA summary.
Output as a one-page negotiation prep sheet: Objectives, Leverage, Concessions to Offer, Concessions to Avoid, Opening Position, Walk-Away Line.","VENDOR_NAME, CONTRACT_SCOPE, BUDGET_CEILING, MUST_HAVE_TERMS, WALK_AWAY_CONDITIONS",ChatGPT / Claude,Advanced,"A one-page negotiation prep sheet with leverage points, concessions, and a walk-away line.","Run this before every renewal, not just new contracts — renewal leverage decays fast if unprepared."
PRM-BS-007,Business & Strategy,Partnerships,Strategic Partnership Evaluation,Partnership Fit & Risk Assessment,"Act as a corporate development advisor. Assess whether [YOUR_COMPANY] should partner with [POTENTIAL_PARTNER] on [PROPOSED_PARTNERSHIP_SCOPE].
Consider: strategic fit, overlapping vs complementary capabilities [CAPABILITY_NOTES], and what each side stands to gain or lose.
Score the partnership on strategic value, execution risk, and reputational risk (1-5 each) with justification.
Conclude with recommended structure (e.g. pilot, revenue share, joint venture) and 3 deal-breaker terms to avoid.","YOUR_COMPANY, POTENTIAL_PARTNER, PROPOSED_PARTNERSHIP_SCOPE, CAPABILITY_NOTES",ChatGPT / Claude,Advanced,A scored fit/risk assessment with a recommended deal structure and deal-breaker terms.,Ask the model to argue the partner's side too — it exposes leverage you might be missing.
PRM-BS-008,Business & Strategy,Growth,Geographic/Segment Expansion Plan,Expansion Readiness Assessment,"Act as a growth strategy consultant. Assess whether [BUSINESS_NAME] is ready to expand into [NEW_SEGMENT_OR_REGION].
Current state: revenue [CURRENT_REVENUE], team size [TEAM_SIZE], core product maturity [PRODUCT_MATURITY_NOTES].
Evaluate operational readiness, capital requirements, and the single biggest capability gap that would need closing first.
Output a readiness scorecard (Product, Operations, Capital, Talent — each rated Ready/Partial/Not Ready) and a 90-day pre-expansion action plan.","BUSINESS_NAME, NEW_SEGMENT_OR_REGION, CURRENT_REVENUE, TEAM_SIZE, PRODUCT_MATURITY_NOTES",ChatGPT / Claude,Advanced,A readiness scorecard across 4 dimensions plus a concrete 90-day pre-expansion plan.,Be honest about weak areas in your inputs — a flattering input produces a falsely confident readiness score.
PRM-BS-009,Business & Strategy,Exit Planning,Exit Strategy Framing,Exit Strategy Option Comparison,"Act as an M&A advisor. Outline realistic exit options for [BUSINESS_NAME], a [INDUSTRY] business with [ANNUAL_REVENUE] in annual revenue and [OWNERSHIP_STRUCTURE].
Compare at least 3 paths (e.g. strategic acquisition, private equity, management buyout, IPO) on likelihood, typical valuation multiple range, timeline, and founder involvement post-exit.
Recommend which path best fits the stated owner goal: [OWNER_GOAL, e.g. maximize price, preserve legacy, exit within 2 years].
Output as a comparison table plus a short recommendation.","BUSINESS_NAME, INDUSTRY, ANNUAL_REVENUE, OWNERSHIP_STRUCTURE, OWNER_GOAL",ChatGPT / Claude,Advanced,A comparison table of exit paths with a recommendation matched to the owner's actual priority.,"This is directional strategy, not a valuation — pair with an actual advisor before acting on numbers."
PRM-BS-010,Business & Strategy,Executive Communication,Board Deck Narrative,Board Presentation Story Arc,"Act as a chief of staff preparing a board update. Build the narrative arc (not full slides) for a board presentation covering [REPORTING_PERIOD] performance for [COMPANY_NAME].
Key facts to weave in: [KEY_METRICS_OR_EVENTS].
Structure the story to lead with the single most important takeaway, then supporting evidence, then risks, then the ask.
Output: a slide-by-slide outline (title + 2-3 bullet talking points per slide) ending in a clear ask of the board.","REPORTING_PERIOD, COMPANY_NAME, KEY_METRICS_OR_EVENTS",ChatGPT / Claude,Advanced,A slide-by-slide board narrative outline that leads with the headline takeaway and ends in a clear ask.,"Boards remember the first slide and the ask — make sure both are unmistakable, not buried."
